title,url,price,primary_image_url,currency,crawl_time,current_price,categories
Sony Xperia X ,http://www.expansys.com.sg/sony-xperia-x-unlocked-32gb-white-288280/,Price Not Announced,http://i1.expansys.com/img/p/288280/sony-xperia-x.jpg,Singaporean Dollar,2016-04-14 12:04:25,Price Not Announced,"Mobile Phones,SIM Free Phones,Android,Marshmallow 6.0"
Sony Xperia X ,http://www.expansys.com.sg/sony-xperia-x-unlocked-32gb-rose-gold-288282/,Price Not Announced,http://i1.expansys.com/img/p/288282/sony-xperia-x.jpg,Singaporean Dollar,2016-04-14 12:04:27,Price Not Announced,"Mobile Phones,SIM Free Phones,Android,Marshmallow 6.0"
"ASUS ZenFone 2 Laser 6"" Dual-SIM ZE601KL ",http://www.expansys.com.sg/asus-zenfone-2-laser-6-dual-sim-ze601kl-unlocked-32gb-glacier-gray-285965/,SG$394,http://i2.expansys.com/img/p/285965/asus-zenfone-2-laser-6-dual-sim-ze601kl.jpg,Singaporean Dollar,2016-04-14 12:04:27,SG$394,"Mobile Phones,Dual SIM Phones"
LG G5 ,http://www.expansys.com.sg/lg-g5-unlocked-32gb-titan-288130/,Price Not Announced,http://i1.expansys.com/img/p/288130/lg-g5.jpg,Singaporean Dollar,2016-04-14 12:04:28,Price Not Announced,"Mobile Phones,SIM Free Phones,Android,Marshmallow 6.0"
Apple iPhone 6s A1688 ,http://www.expansys.com.sg/apple-iphone-6s-a1688-unlocked-16gb-rose-gold-282807/,SG$974,http://i2.expansys.com/img/p/282807/apple-iphone-6s-a1688.jpg,Singaporean Dollar,2016-04-14 12:04:29,SG$974,"Mobile Phones,SIM Free Phones,iOS"
Apple iPhone SE A1723 ,http://www.expansys.com.sg/apple-iphone-se-a1723-unlocked-16gb-space-gray-288842/,SG$669,http://i1.expansys.com/img/p/288842/apple-iphone-se-a1723.jpg,Singaporean Dollar,2016-04-14 12:04:30,SG$669,"Mobile Phones,SIM Free Phones,iOS"
B-Stock Huawei Ascend Mate7 MT7-L09 ,http://www.expansys.com.sg/b-stock-huawei-ascend-mate7-mt7-l09-unlocked-lte-16gb-obsidian-black-open-box-288482/,SG$359,http://i1.expansys.com/img/p/288482/b-stock-huawei-ascend-mate7-mt7-l09.jpg,Singaporean Dollar,2016-04-14 12:04:31,SG$359,Phablets
Microsoft Lumia 950 RM-1104 ,http://www.expansys.com.sg/microsoft-lumia-950-rm-1104-unlocked-32gb-white-286639/,SG$684,http://i2.expansys.com/img/p/286639/microsoft-lumia-950-rm-1104.jpg,Singaporean Dollar,2016-04-14 12:04:32,SG$684,"Mobile Phones,SIM Free Phones,Windows Phone,Windows 10"
"ASUS ZenFone 2 Laser 6"" Dual-SIM ZE601KL ",http://www.expansys.com.sg/asus-zenfone-2-laser-6-dual-sim-ze601kl-unlocked-32gb-glamour-red-285977/,SG$394,http://i2.expansys.com/img/p/285977/asus-zenfone-2-laser-6-dual-sim-ze601kl.jpg,Singaporean Dollar,2016-04-14 12:04:34,SG$394,"Mobile Phones,Dual SIM Phones"
Motorola Moto X Play XT1562 Dual SIM ,http://www.expansys.com.sg/motorola-moto-x-play-xt1562-dual-sim-unlocked-lte-16gb-black-283581/,SG$469,http://i1.expansys.com/img/p/283581/motorola-moto-x-play-xt1562-dual-sim.jpg,Singaporean Dollar,2016-04-14 12:04:35,SG$469,"Mobile Phones,Dual SIM Phones"
