title,url,price,primary_image_url,currency,crawl_time,current_price,categories
Belkin Grip Sheer Matte Case for Samsung Galaxy S4 Mini ,http://www.expansys.com.sg/belkin-grip-sheer-matte-case-for-samsung-galaxy-s4-mini-blacktop-clear-2-pack-250340/,SG$32,http://i1.expansys.com/img/p/250340/belkin-grip-sheer-matte-case-for-samsung-galaxy-s4-mini.jpg,Singaporean Dollar,2016-04-12 17:18:07,SG$32,"Mobile Phones,Phone Accessories,Cases & Covers"
PDair Leather Case for LG Optimus L5 II ,http://www.expansys.com.sg/pdair-leather-case-for-lg-optimus-l5-ii-vertical-pouch-type-black-250106/,SG$3,http://i2.expansys.com/img/p/250106/pdair-leather-case-for-lg-optimus-l5-ii.jpg,Singaporean Dollar,2016-04-12 17:18:08,SG$3,"Mobile Phones,Phone Accessories,Cases & Covers"
PDair Leather Case for LG Optimus L5 II ,http://www.expansys.com.sg/pdair-leather-case-for-lg-optimus-l5-ii-horizontal-pouch-type-black-250104/,SG$3,http://i1.expansys.com/img/p/250104/pdair-leather-case-for-lg-optimus-l5-ii.jpg,Singaporean Dollar,2016-04-12 17:18:08,SG$3,"Mobile Phones,Phone Accessories,Cases & Covers"
PDair Leather Case for LG Optimus L5 II ,http://www.expansys.com.sg/pdair-leather-case-for-lg-optimus-l5-ii-flip-type-black-250102/,SG$3,http://i1.expansys.com/img/p/250102/pdair-leather-case-for-lg-optimus-l5-ii.jpg,Singaporean Dollar,2016-04-12 17:18:10,SG$3,"Mobile Phones,Phone Accessories,Cases & Covers"
EXPANSYS Glaze Tempered Shield for Samsung Galaxy S4 ,http://www.expansys.com.sg/expansys-tempered-glass-protector-for-samsung-galaxy-s4-249907/,SG$3,http://i2.expansys.com/img/p/249907/expansys-tempered-glass-protector-for-samsung-galaxy-s4.jpg,Singaporean Dollar,2016-04-12 17:18:11,SG$3,"Mobile Phones,Phone Accessories,Screen Protectors & Cleaning"
EXPANSYS Screen Protector for Samsung Galaxy Xcover 2,http://www.expansys.com.sg/expansys-screen-protector-for-samsung-galaxy-xcover-2-249708/,SG$3,http://i2.expansys.com/img/p/249708/expansys-screen-protector-for-samsung-galaxy-xcover-2.jpg,Singaporean Dollar,2016-04-12 17:18:12,SG$3,"Mobile Phones,Phone Accessories,Screen Protectors & Cleaning"
Kuboq Advanced TPU Case for Nokia 1520 ,http://www.expansys.com.sg/kuboq-advanced-tpu-case-for-nokia-1520-w-screen-protector-white-256668/,SG$3,http://i2.expansys.com/img/p/256668/kuboq-advanced-tpu-case-for-nokia-1520.jpg,Singaporean Dollar,2016-04-12 17:18:13,SG$3,"Mobile Phones,Phone Accessories,Cases & Covers"
Kuboq Advanced TPU Case for Nokia 1520 ,http://www.expansys.com.sg/kuboq-advanced-tpu-case-for-nokia-1520-w-screen-protector-black-256667/,SG$3,http://i2.expansys.com/img/p/256667/kuboq-advanced-tpu-case-for-nokia-1520.jpg,Singaporean Dollar,2016-04-12 17:18:14,SG$3,"Mobile Phones,Phone Accessories,Cases & Covers"
Motorola Shell for Motorola Moto G/4G ,http://www.expansys.com.sg/motorola-shell-for-motorola-moto-g-lemon-256385/,SG$24,http://i2.expansys.com/img/p/256385/motorola-shell-for-motorola-moto-g.jpg,Singaporean Dollar,2016-04-12 17:18:16,SG$24,"Mobile Phones,Phone Accessories,Cases & Covers"
OtterBox Commuter Series Case - Samsung Galaxy Note 3 ,http://www.expansys.com.sg/otterbox-commuter-series-case-samsung-galaxy-note-3-surf-256013/,SG$58,http://i1.expansys.com/img/p/256013/otterbox-commuter-series-case-samsung-galaxy-note-3.jpg,Singaporean Dollar,2016-04-12 17:18:17,SG$58,"Mobile Phones,Phone Accessories,Cases & Covers"
AT Screen Guard for Google Nexus 5 ,http://www.expansys.com.sg/at-screen-guard-for-google-nexus-5-anti-fingerprint-crystal-clear-255447/,SG$6,http://i2.expansys.com/img/p/255447/at-screen-guard-for-google-nexus-5.jpg,Singaporean Dollar,2016-04-12 17:18:18,SG$6,"Mobile Phones,Phone Accessories,Screen Protectors & Cleaning"
Kuboq Advanced TPU Case for Nokia 1020 ,http://www.expansys.com.sg/kuboq-advanced-tpu-case-for-nokia-1020-with-screen-protector-blue-254631/,SG$3,http://i1.expansys.com/img/p/254631/kuboq-advanced-tpu-case-for-nokia-1020.jpg,Singaporean Dollar,2016-04-12 17:18:19,SG$3,"Mobile Phones,Phone Accessories,Cases & Covers"
Logitech UE 6000 On-Ear Headphones ,http://www.expansys.com.sg/ultimate-ears-6000-on-ear-headphones-black-254536/,SG$104,http://i2.expansys.com/img/p/254536/ultimate-ears-6000-on-ear-headphones.jpg,Singaporean Dollar,2016-04-12 17:18:20,SG$104,"Mobile Phones,Phone Accessories,Headsets & Headphones – Wired"
HTC One max Double Dip Flip Case with Stand HC V800 ,http://www.expansys.com.sg/htc-one-max-flip-case-with-stand-hc-v880-retailed-pack-254531/,SG$32,http://i1.expansys.com/img/p/254531/htc-one-max-flip-case-with-stand-hc-v880.jpg,Singaporean Dollar,2016-04-12 17:18:21,SG$32,"Mobile Phones,Phone Accessories,Cases & Covers"
mobio Grip - Universal Handle and Stand ,http://www.expansys.com.sg/mobio-grip-universal-handle-and-stand-chrome-black-254169/,SG$10,http://i2.expansys.com/img/p/254169/mobio-grip-universal-handle-and-stand.jpg,Singaporean Dollar,2016-04-12 17:18:22,SG$10,"Tablet PCs & iPads,Tablet Accessories,Car Kits"
Samsung Data Cable for Samsung Galaxy Range ,http://www.expansys.com.sg/samsung-data-cable-for-samsung-galaxy-note-3-usb-30-1m-white-254060/,SG$32,http://i1.expansys.com/img/p/254060/samsung-data-cable-for-samsung-galaxy-note-3.jpg,Singaporean Dollar,2016-04-12 17:18:24,SG$32,"Mobile Phones,Phone Accessories,Cables"
Krusell Tumba SlimCover for Xperia Z1 ,http://www.expansys.com.sg/krusell-tumba-slimcover-for-xperia-z1-vintage-black-253656/,SG$9,http://i2.expansys.com/img/p/253656/krusell-tumba-slimcover-for-xperia-z1.jpg,Singaporean Dollar,2016-04-12 17:18:25,SG$9,"Mobile Phones,Phone Accessories,Cases & Covers"
Kuboq Advanced TPU Case for HTC One Mini ,http://www.expansys.com.sg/kuboq-advanced-tpu-for-htc-one-mini-white-252334/,SG$3,http://i1.expansys.com/img/p/252334/kuboq-advanced-tpu-for-htc-one-mini.jpg,Singaporean Dollar,2016-04-12 17:18:27,SG$3,"Mobile Phones,Phone Accessories,Cases & Covers"
